game 238 : Score 0 : 12450, score 1 : 12800
game 239 : Score 0 : 12450, score 1 : 12890
game 240 : Score 0 : 12540, score 1 : 12890
game 241 : Score 0 : 12640, score 1 : 12890
game 242 : Score 0 : 12640, score 1 : 12980
game 243 : Score 0 : 12730, score 1 : 12980
game 244 : Score 0 : 12730, score 1 : 13060
game 245 : Score 0 : 12810, score 1 : 13060
game 246 : Score 0 : 12810, score 1 : 13140
game 247 : Score 0 : 12900, score 1 : 13140
game 248 : Score 0 : 12900, score 1 : 13230
game 249 : Score 0 : 12900, score 1 : 13310
game 250 : Score 0 : 12900, score 1 : 13400
game 251 : Score 0 : 13060, score 1 : 13400
game 252 : Score 0 : 13140, score 1 : 13400
game 253 : Score 0 : 13140, score 1 : 13560
game 254 : Score 0 : 13140, score 1 : 13640
game 255 : Score 0 : 13140, score 1 : 13730
game 256 : Score 0 : 13230, score 1 : 13730
game 257 : Score 0 : 13230, score 1 : 13820
game 258 : Score 0 : 13390, score 1 : 13820
game 259 : Score 0 : 13550, score 1 : 13820
game 260 : Score 0 : 13640, score 1 : 13820
game 261 : Score 0 : 13720, score 1 : 13820
game 262 : Score 0 : 13720, score 1 : 13930
game 263 : Score 0 : 13810, score 1 : 13930
game 264 : Score 0 : 13890, score 1 : 13930
game 265 : Score 0 : 13980, score 1 : 13930
game 266 : Score 0 : 13980, score 1 : 14010
game 267 : Score 0 : 13980, score 1 : 14170
game 268 : Score 0 : 14060, score 1 : 14170
game 269 : Score 0 : 14160, score 1 : 14170
game 270 : Score 0 : 14160, score 1 : 14250
game 271 : Score 0 : 14250, score 1 : 14250
game 272 : Score 0 : 14250, score 1 : 14340
game 273 : Score 0 : 14340, score 1 : 14340
game 274 : Score 0 : 14340, score 1 : 14430
game 275 : Score 0 : 14340, score 1 : 14520
game 276 : Score 0 : 14340, score 1 : 14610
game 277 : Score 0 : 14340, score 1 : 14690
game 278 : Score 0 : 14440, score 1 : 14690
game 279 : Score 0 : 14440, score 1 : 14790
game 280 : Score 0 : 14530, score 1 : 14790
game 281 : Score 0 : 14620, score 1 : 14790
game 282 : Score 0 : 14620, score 1 : 14880
game 283 : Score 0 : 14620, score 1 : 14970
game 284 : Score 0 : 14710, score 1 : 14970
game 285 : Score 0 : 14710, score 1 : 15060
game 286 : Score 0 : 14710, score 1 : 15220
game 287 : Score 0 : 14790, score 1 : 15220
game 288 : Score 0 : 14790, score 1 : 15300
game 289 : Score 0 : 14790, score 1 : 15390
game 290 : Score 0 : 14950, score 1 : 15390
game 291 : Score 0 : 14950, score 1 : 15480
game 292 : Score 0 : 15040, score 1 : 15480
game 293 : Score 0 : 15200, score 1 : 15480
game 294 : Score 0 : 15280, score 1 : 15480
game 295 : Score 0 : 15280, score 1 : 15570
game 296 : Score 0 : 15370, score 1 : 15570
game 297 : Score 0 : 15370, score 1 : 15650
game 298 : Score 0 : 15530, score 1 : 15650
game 299 : Score 0 : 15530, score 1 : 15740
game 300 : Score 0 : 15620, score 1 : 15740
game 301 : Score 0 : 15620, score 1 : 15830
game 302 : Score 0 : 15620, score 1 : 15990
game 303 : Score 0 : 15780, score 1 : 15990
game 304 : Score 0 : 15860, score 1 : 15990
game 305 : Score 0 : 15860, score 1 : 16080
game 306 : Score 0 : 15940, score 1 : 16080
game 307 : Score 0 : 16100, score 1 : 16080
game 308 : Score 0 : 16100, score 1 : 16240
game 309 : Score 0 : 16100, score 1 : 16330
game 310 : Score 0 : 16190, score 1 : 16330
game 311 : Score 0 : 16350, score 1 : 16330
game 312 : Score 0 : 16430, score 1 : 16330
game 313 : Score 0 : 16430, score 1 : 16420
game 314 : Score 0 : 16430, score 1 : 16580
game 315 : Score 0 : 16520, score 1 : 16580
game 316 : Score 0 : 16610, score 1 : 16580
game 317 : Score 0 : 16610, score 1 : 16670
game 318 : Score 0 : 16610, score 1 : 16830
game 319 : Score 0 : 16770, score 1 : 16830
game 320 : Score 0 : 16870, score 1 : 16830
game 321 : Score 0 : 16950, score 1 : 16830
game 322 : Score 0 : 17030, score 1 : 16830
game 323 : Score 0 : 17120, score 1 : 16830
game 324 : Score 0 : 17200, score 1 : 16830
game 325 : Score 0 : 17290, score 1 : 16830
game 326 : Score 0 : 17290, score 1 : 16910
game 327 : Score 0 : 17290, score 1 : 16990
game 328 : Score 0 : 17290, score 1 : 17070
game 329 : Score 0 : 17450, score 1 : 17070
game 330 : Score 0 : 17540, score 1 : 17070
game 331 : Score 0 : 17630, score 1 : 17070
game 332 : Score 0 : 17710, score 1 : 17070
game 333 : Score 0 : 17790, score 1 : 17070
game 334 : Score 0 : 17790, score 1 : 17160
game 335 : Score 0 : 17790, score 1 : 17240
game 336 : Score 0 : 17790, score 1 : 17330
game 337 : Score 0 : 17790, score 1 : 17420
game 338 : Score 0 : 17790, score 1 : 17500
game 339 : Score 0 : 17870, score 1 : 17500
game 340 : Score 0 : 17870, score 1 : 17580
game 341 : Score 0 : 17870, score 1 : 17670
game 342 : Score 0 : 17960, score 1 : 17670
game 343 : Score 0 : 18050, score 1 : 17670
game 344 : Score 0 : 18050, score 1 : 17770
game 345 : Score 0 : 18050, score 1 : 17860
game 346 : Score 0 : 18210, score 1 : 17860
game 347 : Score 0 : 18210, score 1 : 18020
game 348 : Score 0 : 18300, score 1 : 18020
game 349 : Score 0 : 18400, score 1 : 18020
game 350 : Score 0 : 18400, score 1 : 18110
game 351 : Score 0 : 18400, score 1 : 18200
game 352 : Score 0 : 18400, score 1 : 18290
game 353 : Score 0 : 18560, score 1 : 18290
game 354 : Score 0 : 18720, score 1 : 18290
game 355 : Score 0 : 18820, score 1 : 18290
game 356 : Score 0 : 18820, score 1 : 18370
game 357 : Score 0 : 18820, score 1 : 18460
game 358 : Score 0 : 18820, score 1 : 18550
game 359 : Score 0 : 18820, score 1 : 18630
game 360 : Score 0 : 18820, score 1 : 18710
game 361 : Score 0 : 18820, score 1 : 18800
game 362 : Score 0 : 18820, score 1 : 18890
game 363 : Score 0 : 18820, score 1 : 18970
game 364 : Score 0 : 18910, score 1 : 18970
game 365 : Score 0 : 18990, score 1 : 18970
game 366 : Score 0 : 18990, score 1 : 19060
game 367 : Score 0 : 18990, score 1 : 19160
game 368 : Score 0 : 18990, score 1 : 19250
game 369 : Score 0 : 19080, score 1 : 19250
game 370 : Score 0 : 19240, score 1 : 19250
game 371 : Score 0 : 19330, score 1 : 19250
game 372 : Score 0 : 19330, score 1 : 19410
game 373 : Score 0 : 19420, score 1 : 19410
game 374 : Score 0 : 19510, score 1 : 19410
game 375 : Score 0 : 19600, score 1 : 19410
game 376 : Score 0 : 19690, score 1 : 19410
game 377 : Score 0 : 19780, score 1 : 19410
game 378 : Score 0 : 19780, score 1 : 19570
game 379 : Score 0 : 19780, score 1 : 19680
game 380 : Score 0 : 19940, score 1 : 19680
game 381 : Score 0 : 20020, score 1 : 19680
game 382 : Score 0 : 20110, score 1 : 19680
game 383 : Score 0 : 20110, score 1 : 19760
game 384 : Score 0 : 20200, score 1 : 19760
game 385 : Score 0 : 20200, score 1 : 19920
game 386 : Score 0 : 20290, score 1 : 19920
game 387 : Score 0 : 20290, score 1 : 20000
game 388 : Score 0 : 20450, score 1 : 20000
game 389 : Score 0 : 20450, score 1 : 20090
game 390 : Score 0 : 20540, score 1 : 20090
game 391 : Score 0 : 20630, score 1 : 20090
game 392 : Score 0 : 20630, score 1 : 20250
game 393 : Score 0 : 20630, score 1 : 20330
game 394 : Score 0 : 20630, score 1 : 20490
game 395 : Score 0 : 20790, score 1 : 20490
game 396 : Score 0 : 20870, score 1 : 20490
game 397 : Score 0 : 20950, score 1 : 20490
game 398 : Score 0 : 20950, score 1 : 20590
game 399 : Score 0 : 20950, score 1 : 20750
game 400 : Score 0 : 20950, score 1 : 20840
game 401 : Score 0 : 20950, score 1 : 20930
game 402 : Score 0 : 21110, score 1 : 20930
game 403 : Score 0 : 21110, score 1 : 21090
game 404 : Score 0 : 21110, score 1 : 21250
game 405 : Score 0 : 21110, score 1 : 21350
game 406 : Score 0 : 21110, score 1 : 21430
game 407 : Score 0 : 21210, score 1 : 21430
game 408 : Score 0 : 21300, score 1 : 21430
game 409 : Score 0 : 21400, score 1 : 21430
game 410 : Score 0 : 21490, score 1 : 21430
