game 342 : Score 0 : 25760, score 1 : 10540
game 343 : Score 0 : 25840, score 1 : 10540
game 344 : Score 0 : 25840, score 1 : 10630
game 345 : Score 0 : 25930, score 1 : 10630
game 346 : Score 0 : 25930, score 1 : 10720
game 347 : Score 0 : 25930, score 1 : 10810
game 348 : Score 0 : 25930, score 1 : 10970
game 349 : Score 0 : 25930, score 1 : 11130
game 350 : Score 0 : 26090, score 1 : 11130
game 351 : Score 0 : 26180, score 1 : 11130
game 352 : Score 0 : 26180, score 1 : 11210
game 353 : Score 0 : 26270, score 1 : 11210
game 354 : Score 0 : 26270, score 1 : 11310
game 355 : Score 0 : 26270, score 1 : 11470
game 356 : Score 0 : 26360, score 1 : 11470
game 357 : Score 0 : 26360, score 1 : 11630
game 358 : Score 0 : 26360, score 1 : 11730
game 359 : Score 0 : 26520, score 1 : 11730
game 360 : Score 0 : 26600, score 1 : 11730
game 361 : Score 0 : 26760, score 1 : 11730
game 362 : Score 0 : 26760, score 1 : 11810
game 363 : Score 0 : 26760, score 1 : 11910
game 364 : Score 0 : 26860, score 1 : 11910
game 365 : Score 0 : 26860, score 1 : 12070
game 366 : Score 0 : 26950, score 1 : 12070
game 367 : Score 0 : 27040, score 1 : 12070
game 368 : Score 0 : 27200, score 1 : 12070
game 369 : Score 0 : 27200, score 1 : 12160
game 370 : Score 0 : 27200, score 1 : 12250
game 371 : Score 0 : 27200, score 1 : 12340
game 372 : Score 0 : 27200, score 1 : 12430
game 373 : Score 0 : 27290, score 1 : 12430
game 374 : Score 0 : 27370, score 1 : 12430
game 375 : Score 0 : 27370, score 1 : 12510
game 376 : Score 0 : 27370, score 1 : 12600
game 377 : Score 0 : 27470, score 1 : 12600
game 378 : Score 0 : 27560, score 1 : 12600
game 379 : Score 0 : 27650, score 1 : 12600
game 380 : Score 0 : 27810, score 1 : 12600
game 381 : Score 0 : 27810, score 1 : 12680
game 382 : Score 0 : 27810, score 1 : 12770
game 383 : Score 0 : 27900, score 1 : 12770
game 384 : Score 0 : 28060, score 1 : 12770
game 385 : Score 0 : 28060, score 1 : 12860
game 386 : Score 0 : 28060, score 1 : 13020
game 387 : Score 0 : 28150, score 1 : 13020
game 388 : Score 0 : 28310, score 1 : 13020
game 389 : Score 0 : 28470, score 1 : 13020
game 390 : Score 0 : 28470, score 1 : 13110
game 391 : Score 0 : 28630, score 1 : 13110
game 392 : Score 0 : 28630, score 1 : 13190
game 393 : Score 0 : 28710, score 1 : 13190
game 394 : Score 0 : 28810, score 1 : 13190
game 395 : Score 0 : 28900, score 1 : 13190
game 396 : Score 0 : 28900, score 1 : 13280
game 397 : Score 0 : 28900, score 1 : 13370
game 398 : Score 0 : 28990, score 1 : 13370
game 399 : Score 0 : 29080, score 1 : 13370
game 400 : Score 0 : 29240, score 1 : 13370
game 401 : Score 0 : 29400, score 1 : 13370
game 402 : Score 0 : 29400, score 1 : 13450
game 403 : Score 0 : 29400, score 1 : 13540
game 404 : Score 0 : 29480, score 1 : 13540
game 405 : Score 0 : 29480, score 1 : 13640
